Name,Rating,Method,Style,Flavor,Fermentation,Country,Split
Schofferhofer Zitrone Weizen-Mix 2.5,9,industrial,wheat,lemon,top,Germany,test
Sester Kolsch 4.8,5,industrial,blonde,standard,top,Germany,test
Silva Lager Negru Premium 7.0,6,craft,lager,standard,bottom,Romania,test
Steam Brew Session India Pale Ale 4.9,6,craft,ale,standard,top,Germany,test
Stephans Brau Premium Export 5.2,7,industrial,pils,standard,bottom,Germany,test
Stephans Brau Premium Pils 4.9,7,industrial,pils,standard,bottom,Germany,test
Stolichno Bock 6.5,9.5,industrial,lager,standard,bottom,Bulgaria,test
Stortebeker Atlantik-Ale 5.1,5,industrial,ale,standard,top,Germany,test
Stortebeker Hanse-Porter 4.0,8,industrial,pils,standard,bottom,Germany,test
Tem'S Root Beer 0.0,9,industrial,soda,standard,top,Germany,test
Three Happy Brewers Balkan Breakfast Coffee Oatmeal Stout 7.0,8.5,craft,dark,standard,bottom,Romania,test
Timisoreana Nepasteurizata 5.0,8,industrial,lager,standard,bottom,Romania,test
Turmbrau Original Premium Pils 4.9,5,industrial,pils,standard,bottom,Germany,test
Veltins Curuba Tequila 5.0,3,industrial,mix,standard,bottom,Germany,test
Veltins Fassbrause Apfel-Krauter 0.0,6,industrial,soda,fruit,top,Germany,test
Veltins Grapefruit Zitrone 2.0,7,industrial,pils,lemon,bottom,Germany,test
Veltins Lemon Grapefruit 2.7,8,industrial,pils,lemon,bottom,Germany,test
Veltins Radler 0.0,8,industrial,pils,lemon,bottom,Germany,test
Warsteiner 4.8,6.5,industrial,pils,standard,bottom,Germany,test
Warsteiner Weihnacht 5.6,6,industrial,pils,standard,bottom,Germany,test
Zaganu Blonda Nepasteurizata 5.3,8,craft,blonde,standard,top,Romania,test
Zagorka 4.5,6,industrial,lager,standard,bottom,Bulgaria,test
Zywiec 5.6,8,industrial,lager,standard,bottom,Poland,test
